3
3047
1397 469 164.9 
173 70 161.3 
102 50 174.7 
427 202 194.8 
57 26 144.4 
428 152 176 
250 97 175.9 
146 71 183.6 
88 36 190.5 
4025 1380 177.8 
113 36 121.4 
740 269 172.7 
55 26 188.3 
3438 1118 165.3 
2265 901 171 
251 106 174.2 
1390 483 169.9 
32 12 153.8 
305 120 162.8 
1081 367 163.3 
134 50 140.8 
958 403 169.4 
94 41 189.7 
499 215 206.1 
152 70 236.7 
80 40 196.3 
164 69 186.2 
564 237 194 
50 25 226.5 
70 26 212.9 
25 19 185.6 
280 137 217 
45 21 209.9 
58 22 128 
250 103 195.1 
145 66 212.1 
218 85 184.1 
68 29 153 
449 192 206.7 
182 78 194.2 
245 101 178.2 
1285 539 205.4 
124 50 218.4 
139 60 226.9 
245 113 240.1 
137 70 234.8 
373 144 188.8 
208 87 184.6 
168 78 209.5 
418 184 210 
170 76 198.4 
163 76 240.8 
382 132 155.9 
86 39 190.7 
105 52 209.7 
160 72 199.8 
308 123 184.4 
45 19 139.8 
45 21 213.3 
50 23 176.8 
183 73 169.8 
328 114 171.5 
482 206 198.2 
161 68 168.6 
72 32 214.7 
89 41 204 
76 36 170.4 
87 39 172.2 
56 19 168.1 
61 27 199.1 
142 60 189.5 
236 102 183.8 
65 33 259.5 
120 50 202.6 
35 14 185.8 
554 217 185.5 
134 69 235.4 
164 73 206 
90 45 217.5 
254 112 168.4 
88 42 171.7 
1214 406 158.6 
71 33 166.4 
103 50 190.1 
238 79 157.9 
356 123 160.1 
184 70 157.6 
323 123 176.6 
109 43 176.4 
2015 707 153.8 
463 201 178.9 
208 77 158.7 
187 104 192.8 
177 72 155.6 
454 177 163.4 
23 13 171.9 
579 206 159.4 
68 25 166.4 
257 108 166.9 
187 74 158.4 
89 32 152.3 
29 15 169.9 
20 10 187.4 
16 10 138.2 
40 13 120.2 
30 14 215 
24 12 156.3 
104 39 159.2 
39 15 142.1 
31 12 162.7 
72 33 164.7 
1962.667684 62 211 
1962.667684 3120 167.7 
1962.667684 108 145.2 
1962.667684 55 143.2 
1962.667684 4 262.1 
1962.667684 4 178.7 
1962.667684 27 191.5 
1962.667684 7 123.8 
1962.667684 9 127.4 
1962.667684 124 195.7 
1962.667684 20 254.3 
1962.667684 154 213.5 
1962.667684 9 121.8 
1962.667684 7 132.6 
1962.667684 727 166 
1962.667684 23 188.4 
1962.667684 145 193.5 
411 151 182.6 
360 133 168.8 
452 156 162.8 
223 93 181.6 
487 178 155 
2075 694 163.2 
879 309 173.1 
1758 570 172.2 
643 227 177.6 
273 102 171.9 
1624 584 179.5 
5164 1722 147.3 
2768 914 171.6 
2963 1039 182.8 
847 314 193.1 
847 317 189.6 
3553 1272 161.8 
1691 602 193.5 
